Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Melukis atau menggambar , Bermain musik",Self Wear
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Olahraga, Belanja online/offline","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi",Seni,Daily needs
"Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain musik, Belanja online/offline",Self Wear
"Novel Fiksi, Alat Musik",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Kesehatan dan Kecantikan"
"Alat Olahraga, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Literasi,Alat Seni
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Belanja online/offline, Olahraga, Membaca buku atau majalah",edukasi
Buku Anak,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Bermain musik","Mainan, Buku fiksi (novel, komik, buku anak)"
Novel Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Membaca buku atau majalah , Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi",Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Mainan"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Mainan/Collectible item",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Melukis atau menggambar , Travelling, Menghadiri acara budaya atau edukasi","Alat Olahraga, Alat Tulis kantor atau sekolah, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,Hiburan atau relaksasi,Seni,edukasi
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Menghadiri acara budaya atau edukasi, Melukis atau menggambar","Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Bermain game (offline/online)",Self Wear
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Komik/Novel Grafis",Toko Gramedia,"Kado atau hadiah, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Belanja online/offline","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak), Mainan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Membaca buku atau majalah , Bermain musik","Kesehatan dan Kecantikan, Mainan, Buku fiksi (novel, komik, buku anak)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Membaca buku atau majalah",edukasi
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Toko Gramedia,Menambah pengetahuan,"Belanja online/offline, Bermain musik, Menulis (diari, blog, atau lainnya)",Daily needs
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif, Buku Anak",Toko Gramedia,Hiburan atau relaksasi,"Belanja online/offline, Travelling, Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah",edukasi
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain musik","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif",Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Seni,"Buku fiksi (novel, komik, buku anak), Mainan, Kesehatan dan Kecantikan"
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Literasi,"Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan","Olahraga, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)",Daily needs
Buku Non-Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Aktivitas Rekreasional,edukasi
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah","Alat Tulis kantor atau sekolah, Alat Musik & kesenian"
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan",Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian, Mainan"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain game (offline/online), Melukis atau menggambar , Bermain musik","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah , Belanja online/offline",edukasi
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Olahraga, Travelling","Buku non-fiksi (pengembangan diri, sejarah, agama), Mainan, Kesehatan dan Kecantikan"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga, Mainan"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Bermain musik","Alat Olahraga, Alat Musik & kesenian"
Buku Non-Fiksi,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,"Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Olahraga, Travelling",edukasi
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Bermain musik",edukasi
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Membaca buku atau majalah , Belanja online/offline",Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Travelling, Menulis (diari, blog, atau lainnya), Bermain musik","Alat Tulis kantor atau sekolah, Mainan, Alat Olahraga"
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Travelling","Mainan, Kesehatan dan Kecantikan"
"Buku Anak, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Olahraga","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,"Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Sport & mainanan,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Travelling, Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak), Mainan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Seni,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online), Bermain musik, Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Non-Fiksi,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain musik","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
Alat Kantor/Sekolah,Toko Gramedia,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling, Membaca buku atau majalah","Alat Musik & kesenian, Alat Olahraga"
Alat Seni,Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Bermain musik","Kesehatan dan Kecantikan, Mainan"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Seni,"Alat Olahraga, Alat Tulis kantor atau sekolah, Mainan"
Novel Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online), Travelling, Menghadiri acara budaya atau edukasi","Alat Olahraga, Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Perlengkapan Seni/Kreatif, Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Komik/Novel Grafis, Mainan/Collectible item",Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Olahraga",Self Wear
Sport & mainanan,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Self Wear
Alat Seni,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Travelling, Bermain musik",edukasi
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Membaca buku atau majalah , Melukis atau menggambar , Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian, Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Edukasi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Belanja online/offline","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Seni,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah , Melukis atau menggambar","Alat Olahraga, Alat Tulis kantor atau sekolah"
Edukasi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Belanja online/offline","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Perlengkapan Seni/Kreatif, Alat Musik, Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline, Menghadiri acara budaya atau edukasi",edukasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Bermain game (offline/online)","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Buku fiksi (novel, komik, buku anak), Mainan"
Komik,Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Travelling, Membaca buku atau majalah",edukasi
"Perlengkapan Seni/Kreatif, Buku Anak",Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,"Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,"Alat Olahraga, Buku fiksi (novel, komik, buku anak), Alat Tulis kantor atau sekolah"
Sport & mainanan,Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Melukis atau menggambar",Alat Seni
Alat Seni,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Aktivitas Rekreasional,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah , Melukis atau menggambar","Alat Musik & kesenian, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
"Alat Musik, Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Belanja online/offline",edukasi
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Aktivitas Rekreasional,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Bermain musik","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Olahraga"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar , Membaca buku atau majalah",Self Wear
"Alat Musik, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,"Membaca buku atau majalah , Bermain musik",Self Wear
"Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Alat Seni,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah , Belanja online/offline, Bermain game (offline/online)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
"Komik/Novel Grafis, Buku Anak, Novel Fiksi",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,"Alat Tulis kantor atau sekolah, Alat Olahraga, Buku fiksi (novel, komik, buku anak)"
