Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Daily needs; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,Self Wear; edukasi,Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Novel Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Alat Seni; Daily needs; edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Netral,Tidak Setuju,Tidak Setuju,Setuju
Buku Non-Fiksi; Edukasi; Sport & mainanan,Toko alat tulis lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Literasi,Daily needs; Self Wear; edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Komik; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Alat Seni; edukasi,Netral,Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Daily needs; Self Wear,Sangat Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Alat Seni,Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Novel Fiksi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Alat Seni; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; Daily needs; edukasi,Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko buku independen lainnya,Kado atau hadiah,Aktivitas Rekreasional,Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Sport & mainanan,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Lifestyle,Daily needs,Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Buku Anak; Komik,Aplikasi Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan,Literasi; Seni,Self Wear,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Edukasi; Sport & mainanan,Website Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Literasi,Self Wear; edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,edukasi,Netral,Sangat Tidak Setuju,Sangat Setuju,Netral
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Literasi,Alat Seni,Setuju,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Daily needs; edukasi,Netral,Setuju,Setuju,Tidak Setuju
Buku Non-Fiksi,Website Gramedia.com,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni; Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak; Komik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Daily needs; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Netral,Netral,Setuju
Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Seni,Alat Seni; Daily needs,Netral,Tidak Setuju,Tidak Setuju,Netral
Buku Anak; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Lifestyle; Literasi; Seni,Alat Seni,Setuju,Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Website Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle; Seni,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,edukasi,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi; Seni,Alat Seni; Self Wear,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Daily needs; Self Wear,Sangat Setuju,Netral,Netral,Setuju
Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Seni,Daily needs; edukasi,Netral,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak; Edukasi,Toko Gramedia,Untuk mengekspresikan kreativitas,Lifestyle; Seni,Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Komik,Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Menambah pengetahuan,Seni,Self Wear,Sangat Setuju,Netral,Setuju,Netral
Alat Seni; Buku Anak; Komik,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Literasi; Seni,Alat Seni; Self Wear,Netral,Sangat Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah; Buku Anak; Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,edukasi,Tidak Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle; Literasi,Alat Seni; Self Wear,Netral,Sangat Setuju,Sangat Setuju,Netral
Buku Anak; Novel Fiksi,Website Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Alat Seni; Daily needs; Self Wear,Sangat Setuju,Netral,Setuju,Netral
Alat Seni,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Alat Seni; edukasi,Setuju,Netral,Netral,Sangat Setuju
Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Lifestyle,Daily needs,Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Edukasi,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Alat Seni; Self Wear,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Seni,Self Wear,Setuju,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju
Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,Literasi; Seni,edukasi,Sangat Setuju,Netral,Tidak Setuju,Netral
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle,Self Wear; edukasi,Setuju,Setuju,Netral,Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Lifestyle; Seni,edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Seni,Toko alat tulis lainnya,Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,Website Gramedia.com,"Kado atau hadiah; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Daily needs; edukasi,Sangat Tidak Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
Novel Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Untuk mengekspresikan kreativitas,Seni,Self Wear,Tidak Setuju,Setuju,Tidak Setuju,Sangat Setuju
Alat Seni; Novel Fiksi,Toko buku independen lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Komik; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Alat Seni; Daily needs,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Literasi,edukasi,Sangat Tidak Setuju,Netral,Setuju,Netral
Alat Seni,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; edukasi,Netral,Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Edukasi,Website Gramedia.com,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Seni,Daily needs; edukasi,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah,Lifestyle,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Edukasi,Aplikasi Gramedia.com,Menambah pengetahuan,Lifestyle; Seni,Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Seni; Komik,Toko alat tulis lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Literasi,edukasi,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
Buku Non-Fiksi; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Menambah pengetahuan,Aktivitas Rekreasional; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Setuju,Netral,Netral
Alat Kantor/Sekolah; Novel Fiksi,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,Alat Seni; Self Wear,Netral,Netral,Sangat Tidak Setuju,Netral
Komik,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Seni,edukasi,Tidak Setuju,Netral,Netral,Tidak Setuju
Alat Seni; Buku Anak,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,Seni,Alat Seni,Netral,Tidak Setuju,Setuju,Netral
Komik,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni,Netral,Sangat Setuju,Setuju,Tidak Setuju
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional,Self Wear,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Buku Anak; Buku Non-Fiksi,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah,Seni,Self Wear; edukasi,Sangat Setuju,Netral,Setuju,Setuju
Alat Seni; Sport & mainanan,Toko buku independen lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional,edukasi,Setuju,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Literasi,Daily needs,Netral,Sangat Setuju,Netral,Sangat Setuju
Buku Non-Fiksi; Novel Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle; Literasi; Seni,edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Seni; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle; Seni,Daily needs; Self Wear,Sangat Tidak Setuju,Netral,Sangat Setuju,Setuju
Alat Kantor/Sekolah,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Literasi; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Komik; Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Seni,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Novel Fiksi,Aplikasi Gramedia.com,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle; Seni,Self Wear; edukasi,Netral,Sangat Setuju,Netral,Sangat Setuju
Komik; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Lifestyle; Literasi,Alat Seni; Self Wear,Sangat Setuju,Tidak Setuju,Sangat Setuju,Netral
Alat Seni; Buku Non-Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Literasi,Self Wear; edukasi,Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; Self Wear; edukasi,Setuju,Sangat Setuju,Setuju,Netral
Alat Kantor/Sekolah; Buku Anak; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Self Wear,Netral,Tidak Setuju,Setuju,Sangat Setuju
Alat Seni; Sport & mainanan,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,Alat Seni,Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Seni; Buku Anak,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi; Seni,edukasi,Tidak Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Seni; Edukasi; Komik,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Seni; Edukasi; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Seni,Self Wear,Sangat Setuju,Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear,Netral,Tidak Setuju,Netral,Sangat Tidak Setuju
Buku Anak; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional; Literasi,Self Wear,Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Seni,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Lifestyle,Self Wear; edukasi,Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,edukasi,Netral,Tidak Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,Menambah pengetahuan,Lifestyle,edukasi,Tidak Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Komik,Toko Gramedia,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle,Self Wear; edukasi,Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Buku Non-Fiksi; Edukasi; Sport & mainanan,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Self Wear; edukasi,Netral,Netral,Setuju,Setuju
Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,edukasi,Netral,Sangat Setuju,Setuju,Netral
Komik; Sport & mainanan,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle,edukasi,Setuju,Tidak Setuju,Setuju,Tidak Setuju
Novel Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Self Wear,Netral,Setuju,Setuju,Setuju
Komik,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle,Alat Seni; edukasi,Tidak Setuju,Sangat Setuju,Setuju,Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Literasi,Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Netral
Alat Seni; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi; Seni,edukasi,Tidak Setuju,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Komik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,edukasi,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Edukasi; Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Literasi,Daily needs; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Buku Non-Fiksi; Novel Fiksi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Self Wear,Sangat Setuju,Netral,Setuju,Sangat Setuju
Edukasi; Komik,Toko Gramedia,Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Seni,Daily needs; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Setuju,Setuju
Alat Kantor/Sekolah; Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Setuju,Sangat Setuju
