Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Untuk mengekspresikan kreativitas
"Jurnal/Perencana (Planner), Buku Anak","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Toko Gramedia","Kado atau hadiah, Hiburan atau relaksasi"
Buku Anak,"Website Gramedia.com, Toko alat tulis lainnya, Aplikasi Gramedia.com",Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis","Website Gramedia.com, Aplikasi Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,"Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Novel Fiksi","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kado atau hadiah, Untuk mengekspresikan kreativitas"
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Mainan/Collectible item,"Aplikasi Gramedia.com, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Website Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia.com","Hiburan atau relaksasi, Menambah pengetahuan"
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Website Gramedia.com",Hiburan atau relaksasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Website Gramedia.com","Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Alat Olahraga,"Toko Gramedia, Website Gramedia.com","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Jurnal/Perencana (Planner),"Toko buku independen lainnya, Website Gramedia.com","Untuk mengekspresikan kreativitas, Kado atau hadiah"
Perlengkapan Seni/Kreatif,"Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
Novel Fiksi,"Aplikasi Gramedia Digital (ebook), Website Gramedia.com",Kado atau hadiah
"Perlengkapan Seni/Kreatif, Novel Fiksi","Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Komik/Novel Grafis, Mainan/Collectible item","Toko buku independen lainnya, Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Perlengkapan Seni/Kreatif,"Website Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)",Menambah pengetahuan
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Aplikasi Gramedia.com, Toko alat tulis lainnya",Menambah pengetahuan
Alat Musik,"Website Gramedia.com, Toko alat tulis lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Alat Musik, Komik/Novel Grafis","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya, Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)","Website Gramedia.com, Toko Gramedia",Sebagai bentuk 'self-reward' atau apresiasi diri
Komik/Novel Grafis,"Toko Gramedia, Website Gramedia.com, Aplikasi Gramedia.com",Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
Mainan/Collectible item,"Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,"Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Menambah pengetahuan
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Alat Musik, Mainan/Collectible item, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia",Untuk mengekspresikan kreativitas
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com",Hiburan atau relaksasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Toko Gramedia, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Website Gramedia.com, Aplikasi Gramedia.com","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Toko Gramedia","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Alat Musik,"Toko alat tulis lainnya, Toko Gramedia","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Komik/Novel Grafis, Buku Anak, Novel Fiksi",Website Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Novel Fiksi, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Mainan/Collectible item, Alat Olahraga, Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Mainan/Collectible item, Alat Musik",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan"
"Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Musik","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com",Menambah pengetahuan
"Alat Musik, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Buku Anak, Alat Musik","Aplikasi Gramedia.com, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Novel Fiksi, Buku Anak, Mainan/Collectible item","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
Alat Musik,"Toko alat tulis lainnya, Toko Gramedia, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Perlengkapan Seni/Kreatif","Toko Gramedia, Aplikasi Gramedia.com",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Website Gramedia.com, Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Jurnal/Perencana (Planner), Mainan/Collectible item","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Mainan/Collectible item,"Aplikasi Gramedia Digital (ebook), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Alat Olahraga","Toko alat tulis lainnya, Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Novel Fiksi,"Toko buku independen lainnya, Aplikasi Gramedia.com, Toko alat tulis lainnya",Untuk mengekspresikan kreativitas
Komik/Novel Grafis,"Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko Gramedia, Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Alat Olahraga, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Aplikasi Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kado atau hadiah"
Alat Tulis Umum (Kantor/Sekolah),"Toko alat tulis lainnya, Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Jurnal/Perencana (Planner), Alat Olahraga, Perlengkapan Kantor atau Sekolah","Toko alat tulis lainnya, Toko Gramedia, Toko buku independen lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga","Toko Gramedia, Toko alat tulis lainnya","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah
"Buku Anak, Komik/Novel Grafis","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Buku Anak, Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Komik/Novel Grafis, Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah"
Alat Olahraga,"Website Gramedia.com, Aplikasi Gramedia.com","Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Hiburan atau relaksasi"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Toko alat tulis lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Komik/Novel Grafis,Toko Gramedia,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Aplikasi Gramedia.com",Hiburan atau relaksasi
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik","Toko buku independen lainnya, Website Gramedia.com, Aplikasi Gramedia Digital (ebook)",Hiburan atau relaksasi
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Toko Gramedia, Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Musik, Novel Fiksi",Website Gramedia.com,Menambah pengetahuan
Alat Musik,"Toko Gramedia, Website Gramedia.com",Kado atau hadiah
"Perlengkapan Kantor atau Sekolah, Novel Fiksi","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko Gramedia,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Anak, Alat Musik","Aplikasi Gramedia.com, Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Jurnal/Perencana (Planner), Alat Olahraga","Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko Gramedia",Kado atau hadiah
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,Toko Gramedia,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Mainan/Collectible item, Alat Olahraga","Aplikasi Gramedia.com, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Menambah pengetahuan"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Alat Musik, Perlengkapan Kantor atau Sekolah","Website Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah
