Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Novel Fiksi,Aplikasi Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah 
"Perlengkapan Kantor atau Sekolah, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Menambah pengetahuan","Olahraga, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Bermain game (offline/online)
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan",Menghadiri acara budaya atau edukasi
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar 
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain game (offline/online), Melukis atau menggambar , Bermain musik"
"Jurnal/Perencana (Planner), Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah , Belanja online/offline"
"Mainan/Collectible item, Jurnal/Perencana (Planner), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Olahraga, Travelling"
"Jurnal/Perencana (Planner), Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online), Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain game (offline/online), Olahraga, Travelling"
"Perlengkapan Kantor atau Sekolah, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kado atau hadiah","Travelling, Bermain musik"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Buku Anak",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Membaca buku atau majalah , Belanja online/offline"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak, Novel Fiksi",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Travelling, Menulis (diari, blog, atau lainnya), Bermain musik"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Travelling"
"Buku Anak, Novel Fiksi",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Olahraga"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
Mainan/Collectible item,Website Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Travelling, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Bermain musik
"Alat Olahraga, Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Bermain game (offline/online), Bermain musik, Membaca buku atau majalah "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah 
Alat Olahraga,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain musik"
Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi,"Menghadiri acara budaya atau edukasi, Travelling, Membaca buku atau majalah "
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Bermain musik"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Bermain musik
Novel Fiksi,Aplikasi Gramedia.com,Menambah pengetahuan,"Bermain game (offline/online), Travelling, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Bermain game (offline/online)
"Komik/Novel Grafis, Mainan/Collectible item",Website Gramedia.com,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Olahraga"
Mainan/Collectible item,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
Perlengkapan Seni/Kreatif,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Travelling, Bermain musik"
"Alat Musik, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Membaca buku atau majalah , Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Belanja online/offline"
Alat Musik,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Membaca buku atau majalah , Melukis atau menggambar "
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar , Belanja online/offline"
"Perlengkapan Seni/Kreatif, Alat Musik, Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah , Bermain game (offline/online)"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
Komik/Novel Grafis,Website Gramedia.com,Untuk mengekspresikan kreativitas,"Olahraga, Travelling, Membaca buku atau majalah "
"Perlengkapan Seni/Kreatif, Buku Anak",Toko buku independen lainnya,Kado atau hadiah,Bermain game (offline/online)
Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga
Mainan/Collectible item,Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Travelling, Melukis atau menggambar "
Alat Musik,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Melukis atau menggambar , Bermain game (offline/online)"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi, Menambah pengetahuan",Bermain game (offline/online)
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah , Melukis atau menggambar "
"Alat Musik, Mainan/Collectible item, Jurnal/Perencana (Planner)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Belanja online/offline"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Olahraga
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Bermain musik"
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar , Membaca buku atau majalah "
"Alat Musik, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,Menambah pengetahuan,"Membaca buku atau majalah , Bermain musik"
"Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline
Alat Musik,Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan","Membaca buku atau majalah , Belanja online/offline, Bermain game (offline/online)"
"Komik/Novel Grafis, Buku Anak, Novel Fiksi",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain musik
"Alat Musik, Novel Fiksi, Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline, Bermain game (offline/online)"
"Mainan/Collectible item, Alat Olahraga, Komik/Novel Grafis",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Alat Musik, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Melukis atau menggambar , Bermain musik, Olahraga"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,Belanja online/offline
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Travelling, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online)
"Alat Musik, Buku Anak","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Musik",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Membaca buku atau majalah "
"Alat Musik, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah",Travelling
"Perlengkapan Kantor atau Sekolah, Buku Anak, Alat Musik",Toko Gramedia,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Membaca buku atau majalah , Travelling"
"Novel Fiksi, Buku Anak, Mainan/Collectible item",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain musik, Olahraga"
Alat Musik,Aplikasi Gramedia.com,"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Menambah pengetahuan",Melukis atau menggambar 
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Membaca buku atau majalah "
"Jurnal/Perencana (Planner), Mainan/Collectible item",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Menulis (diari, blog, atau lainnya), Belanja online/offline"
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Travelling, Melukis atau menggambar "
Mainan/Collectible item,Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Menambah pengetahuan",Bermain game (offline/online)
"Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Melukis atau menggambar , Membaca buku atau majalah "
Novel Fiksi,Toko Gramedia,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Belanja online/offline"
Komik/Novel Grafis,Aplikasi Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi",Melukis atau menggambar 
"Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan",Belanja online/offline
"Alat Musik, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain musik"
"Komik/Novel Grafis, Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Alat Olahraga, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,Menambah pengetahuan,"Belanja online/offline, Olahraga, Melukis atau menggambar "
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Bermain musik, Menulis (diari, blog, atau lainnya)"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar , Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,"Belanja online/offline, Menulis (diari, blog, atau lainnya), Bermain musik"
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Travelling"
"Jurnal/Perencana (Planner), Alat Olahraga, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Untuk mengekspresikan kreativitas,Bermain musik
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas",Bermain game (offline/online)
"Jurnal/Perencana (Planner), Alat Musik, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,"Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Olahraga, Travelling, Bermain musik"
"Buku Anak, Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)"
"Buku Anak, Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Olahraga"
"Komik/Novel Grafis, Buku Anak, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Melukis atau menggambar "
Alat Olahraga,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Olahraga, Melukis atau menggambar "
"Komik/Novel Grafis, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Belanja online/offline"
